Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
2514.934166666665,298,-7192,1009,SAI,55,#DC0000,0 days 00:00:38.472000,13
2522.632499999998,298,-7115,981,SAI,55,#DC0000,0 days 00:00:38.565000,13
2531.602499999998,299,-7023,946,SAI,55,#DC0000,0 days 00:00:38.673000,13
2540.8216666666644,299,-6937,915,SAI,55,#DC0000,0 days 00:00:38.784000,13
2555.688611111109,299,-6812,872,SAI,55,#DC0000,0 days 00:00:38.963000,13
2558.188611111109,300,-6779,861,SAI,55,#DC0000,0 days 00:00:38.993000,13
2575.771944444442,300,-6510,772,SAI,55,#DC0000,0 days 00:00:39.204000,13
2578.196666666664,301,-6488,764,SAI,55,#DC0000,0 days 00:00:39.233000,13
2594.974444444442,302,-6430,746,SAI,55,#DC0000,0 days 00:00:39.433000,13
2599.2527777777755,302,-6398,736,SAI,55,#DC0000,0 days 00:00:39.484000,13
2621.0638888888866,302,-6065,621,SAI,55,#DC0000,0 days 00:00:39.744000,13
2621.8213888888868,303,-6054,616,SAI,55,#DC0000,0 days 00:00:39.753000,13
2635.288055555553,303,-5892,552,SAI,55,#DC0000,0 days 00:00:39.913000,13
2652.03722222222,303,-5765,489,SAI,55,#DC0000,0 days 00:00:40.112000,13
2663.1472222222196,303,-5695,455,SAI,55,#DC0000,0 days 00:00:40.244000,13
2668.870555555553,303,-5661,439,SAI,55,#DC0000,0 days 00:00:40.312000,13
2685.759444444442,304,-5571,398,SAI,55,#DC0000,0 days 00:00:40.512000,13
2698.510555555553,304,-5479,367,SAI,55,#DC0000,0 days 00:00:40.663000,13
2712.1061111111085,304,-5350,330,SAI,55,#DC0000,0 days 00:00:40.824000,13
2716.1594444444418,304,-5312,320,SAI,55,#DC0000,0 days 00:00:40.872000,13
2511.3308333333325,302,-7053,958,LEC,16,#FFD700,0 days 00:00:38.610000,13
2513.8558333333326,303,-7022,947,LEC,16,#FFD700,0 days 00:00:38.640000,13
2540.966944444444,305,-6850,885,LEC,16,#FFD700,0 days 00:00:38.960000,13
2547.001944444444,306,-6815,873,LEC,16,#FFD700,0 days 00:00:39.031000,13
2558.002777777777,307,-6739,847,LEC,16,#FFD700,0 days 00:00:39.160000,13
2569.124999999999,308,-6620,808,LEC,16,#FFD700,0 days 00:00:39.290000,13
2571.6999999999994,309,-6582,795,LEC,16,#FFD700,0 days 00:00:39.320000,13
2582.894444444444,310,-6406,738,LEC,16,#FFD700,0 days 00:00:39.450000,13
2599.3611111111104,312,-6275,695,LEC,16,#FFD700,0 days 00:00:39.640000,13
2614.094444444444,312,-6192,667,LEC,16,#FFD700,0 days 00:00:39.810000,13
2616.7027777777776,313,-6170,659,LEC,16,#FFD700,0 days 00:00:39.840000,13
2628.041666666666,314,-6062,620,LEC,16,#FFD700,0 days 00:00:39.970000,13
2634.166666666666,315,-6005,597,LEC,16,#FFD700,0 days 00:00:40.040000,13
2654.2916666666665,315,-5821,516,LEC,16,#FFD700,0 days 00:00:40.270000,13
2655.1694444444443,316,-5811,511,LEC,16,#FFD700,0 days 00:00:40.280000,13
2664.943611111111,317,-5709,462,LEC,16,#FFD700,0 days 00:00:40.391000,13
2680.755277777778,318,-5580,405,LEC,16,#FFD700,0 days 00:00:40.570000,13
2690.5330555555556,320,-5493,373,LEC,16,#FFD700,0 days 00:00:40.680000,13
2703.8663888888887,320,-5364,335,LEC,16,#FFD700,0 days 00:00:40.830000,13
2711.866388888889,320,-5284,316,LEC,16,#FFD700,0 days 00:00:40.920000,13
2721.7330555555554,320,-5190,297,LEC,16,#FFD700,0 days 00:00:41.031000,13
