Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
2727.3061111111083,304,-5201,298,SAI,55,#DC0000,0 days 00:00:41.004000,14
2739.8449999999975,305,-5022,274,SAI,55,#DC0000,0 days 00:00:41.152000,14
2749.3027777777756,304,-4898,262,SAI,55,#DC0000,0 days 00:00:41.264000,14
2760.1116666666644,304,-4810,256,SAI,55,#DC0000,0 days 00:00:41.392000,14
2774.6361111111087,304,-4719,259,SAI,55,#DC0000,0 days 00:00:41.564000,14
2777.008333333331,305,-4698,259,SAI,55,#DC0000,0 days 00:00:41.592000,14
2800.808333333331,306,-4426,274,SAI,55,#DC0000,0 days 00:00:41.872000,14
2801.828333333331,306,-4415,275,SAI,55,#DC0000,0 days 00:00:41.884000,14
2815.513333333331,306,-4262,290,SAI,55,#DC0000,0 days 00:00:42.045000,14
2831.408333333331,306,-4110,307,SAI,55,#DC0000,0 days 00:00:42.232000,14
2841.013333333331,306,-4025,319,SAI,55,#DC0000,0 days 00:00:42.345000,14
2851.808333333331,306,-3925,333,SAI,55,#DC0000,0 days 00:00:42.472000,14
2856.228333333331,306,-3875,343,SAI,55,#DC0000,0 days 00:00:42.524000,14
2876.6283333333313,306,-3577,416,SAI,55,#DC0000,0 days 00:00:42.764000,14
2892.660555555553,307,-3468,447,SAI,55,#DC0000,0 days 00:00:42.952000,14
2905.6227777777754,307,-3399,474,SAI,55,#DC0000,0 days 00:00:43.104000,14
2913.12722222222,307,-3335,497,SAI,55,#DC0000,0 days 00:00:43.192000,14
2927.794999999998,307,-3191,554,SAI,55,#DC0000,0 days 00:00:43.364000,14
2933.5938888888872,307,-3142,574,SAI,55,#DC0000,0 days 00:00:43.432000,14
2733.235555555555,321,-5090,279,LEC,16,#FFD700,0 days 00:00:41.160000,14
2748.4830555555554,321,-4924,265,LEC,16,#FFD700,0 days 00:00:41.331000,14
2765.3880555555556,322,-4634,261,LEC,16,#FFD700,0 days 00:00:41.520000,14
2766.371944444444,322,-4619,262,LEC,16,#FFD700,0 days 00:00:41.531000,14
2796.7830555555556,322,-4331,283,LEC,16,#FFD700,0 days 00:00:41.871000,14
2797.6802777777775,323,-4324,283,LEC,16,#FFD700,0 days 00:00:41.881000,14
2837.4024999999997,325,-4047,313,LEC,16,#FFD700,0 days 00:00:42.321000,14
2841.8261111111105,325,-3992,324,LEC,16,#FFD700,0 days 00:00:42.370000,14
2861.6872222222223,325,-3692,386,LEC,16,#FFD700,0 days 00:00:42.590000,14
2862.683333333333,326,-3679,388,LEC,16,#FFD700,0 days 00:00:42.601000,14
2884.35,325,-3501,438,LEC,16,#FFD700,0 days 00:00:42.841000,14
2899.5599999999995,324,-3415,469,LEC,16,#FFD700,0 days 00:00:43.010000,14
2909.5499999999997,324,-3352,490,LEC,16,#FFD700,0 days 00:00:43.121000,14
2923.994444444444,325,-3230,536,LEC,16,#FFD700,0 days 00:00:43.281000,14
2930.1333333333328,325,-3145,574,LEC,16,#FFD700,0 days 00:00:43.349000,14
