Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
981.3269444444445,263,-6241,-6855,SAI,55,#DC0000,0 days 00:00:13.792000,6
984.0136111111111,248,-6265,-6871,SAI,55,#DC0000,0 days 00:00:13.831000,6
991.845,233,-6332,-6915,SAI,55,#DC0000,0 days 00:00:13.952000,6
1000.3394444444444,220,-6402,-6960,SAI,55,#DC0000,0 days 00:00:14.091000,6
1008.4469444444444,207,-6468,-7003,SAI,55,#DC0000,0 days 00:00:14.232000,6
1013.7269444444444,192,-6516,-7033,SAI,55,#DC0000,0 days 00:00:14.331000,6
1022.6261111111111,177,-6608,-7088,SAI,55,#DC0000,0 days 00:00:14.512000,6
1026.3127777777777,168,-6644,-7109,SAI,55,#DC0000,0 days 00:00:14.591000,6
1031.6569444444444,159,-6685,-7132,SAI,55,#DC0000,0 days 00:00:14.712000,6
1039.7680555555555,146,-6729,-7154,SAI,55,#DC0000,0 days 00:00:14.912000,6
1044.3297222222222,138,-6762,-7167,SAI,55,#DC0000,0 days 00:00:15.031000,6
1048.6991666666665,130,-6802,-7181,SAI,55,#DC0000,0 days 00:00:15.152000,6
1050.7805555555556,127,-6823,-7188,SAI,55,#DC0000,0 days 00:00:15.211000,6
1054.2875,125,-6856,-7196,SAI,55,#DC0000,0 days 00:00:15.312000,6
1057.615,121,-6888,-7203,SAI,55,#DC0000,0 days 00:00:15.411000,6
1059.5975,117,-6907,-7205,SAI,55,#DC0000,0 days 00:00:15.472000,6
1065.2658333333334,114,-6962,-7210,SAI,55,#DC0000,0 days 00:00:15.651000,6
1065.9133333333334,111,-6968,-7210,SAI,55,#DC0000,0 days 00:00:15.672000,6
1070.1219444444446,109,-7010,-7209,SAI,55,#DC0000,0 days 00:00:15.811000,6
1071.9519444444445,108,-7027,-7207,SAI,55,#DC0000,0 days 00:00:15.872000,6
1073.078611111111,104,-7038,-7206,SAI,55,#DC0000,0 days 00:00:15.911000,6
1082.056388888889,101,-7123,-7186,SAI,55,#DC0000,0 days 00:00:16.231000,6
1082.0836111111112,98,-7123,-7185,SAI,55,#DC0000,0 days 00:00:16.232000,6
1088.5233333333333,97,-7179,-7159,SAI,55,#DC0000,0 days 00:00:16.471000,6
1093.3233333333333,96,-7216,-7131,SAI,55,#DC0000,0 days 00:00:16.651000,6
1093.8775,95,-7219,-7127,SAI,55,#DC0000,0 days 00:00:16.672000,6
1097.0838888888889,97,-7241,-7104,SAI,55,#DC0000,0 days 00:00:16.791000,6
1098.211388888889,99,-7248,-7092,SAI,55,#DC0000,0 days 00:00:16.832000,6
1103.711388888889,99,-7287,-7024,SAI,55,#DC0000,0 days 00:00:17.032000,6
1104.2444444444445,101,-7290,-7019,SAI,55,#DC0000,0 days 00:00:17.051000,6
1108.317777777778,104,-7300,-6991,SAI,55,#DC0000,0 days 00:00:17.192000,6
1112.4105555555557,106,-7306,-6967,SAI,55,#DC0000,0 days 00:00:17.331000,6
1113.0405555555558,108,-7307,-6961,SAI,55,#DC0000,0 days 00:00:17.352000,6
1118.6094444444445,112,-7318,-6907,SAI,55,#DC0000,0 days 00:00:17.531000,6
1121.863888888889,116,-7323,-6874,SAI,55,#DC0000,0 days 00:00:17.632000,6
1127.0194444444446,116,-7330,-6822,SAI,55,#DC0000,0 days 00:00:17.792000,6
1128.9861111111113,120,-7333,-6804,SAI,55,#DC0000,0 days 00:00:17.851000,6
1135.8750000000002,124,-7343,-6734,SAI,55,#DC0000,0 days 00:00:18.051000,6
1136.6275000000003,129,-7344,-6723,SAI,55,#DC0000,0 days 00:00:18.072000,6
1144.2386111111114,137,-7359,-6604,SAI,55,#DC0000,0 days 00:00:18.272000,6
1145.7661111111115,141,-7362,-6583,SAI,55,#DC0000,0 days 00:00:18.311000,6
1154.6883333333337,146,-7370,-6488,SAI,55,#DC0000,0 days 00:00:18.531000,6
1157.2469444444448,151,-7372,-6463,SAI,55,#DC0000,0 days 00:00:18.592000,6
1168.369166666667,154,-7389,-6355,SAI,55,#DC0000,0 days 00:00:18.852000,6
1172.8019444444449,158,-7397,-6313,SAI,55,#DC0000,0 days 00:00:18.953000,6
1178.8586111111117,158,-7413,-6256,SAI,55,#DC0000,0 days 00:00:19.091000,6
1181.5797222222227,158,-7421,-6230,SAI,55,#DC0000,0 days 00:00:19.153000,6
