Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
4263.338333333335,219,5428,5849,SAI,55,#DC0000,0 days 00:01:03.045000,21
4264.995833333335,221,5431,5834,SAI,55,#DC0000,0 days 00:01:03.072000,21
4275.602500000002,222,5454,5735,SAI,55,#DC0000,0 days 00:01:03.244000,21
4279.833611111113,224,5472,5670,SAI,55,#DC0000,0 days 00:01:03.312000,21
4289.291388888891,224,5523,5507,SAI,55,#DC0000,0 days 00:01:03.464000,21
4299.744722222224,224,5550,5404,SAI,55,#DC0000,0 days 00:01:03.632000,21
4315.34638888889,222,5557,5319,SAI,55,#DC0000,0 days 00:01:03.885000,21
4319.440833333335,220,5558,5284,SAI,55,#DC0000,0 days 00:01:03.952000,21
4329.868888888891,217,5562,5181,SAI,55,#DC0000,0 days 00:01:04.125000,21
4341.036944444447,215,5550,5074,SAI,55,#DC0000,0 days 00:01:04.312000,21
4341.75027777778,214,5548,5065,SAI,55,#DC0000,0 days 00:01:04.324000,21
4356.016944444446,214,5463,4853,SAI,55,#DC0000,0 days 00:01:04.564000,21
4357.681388888891,214,5456,4838,SAI,55,#DC0000,0 days 00:01:04.592000,21
4372.6613888888905,214,5418,4789,SAI,55,#DC0000,0 days 00:01:04.844000,21
4379.081388888891,214,5361,4730,SAI,55,#DC0000,0 days 00:01:04.952000,21
4389.341388888891,216,5247,4612,SAI,55,#DC0000,0 days 00:01:05.123000,21
4396.002500000002,218,5189,4560,SAI,55,#DC0000,0 days 00:01:05.233000,21
4414.921666666669,219,5063,4478,SAI,55,#DC0000,0 days 00:01:05.544000,21
4415.474166666669,221,5058,4475,SAI,55,#DC0000,0 days 00:01:05.553000,21
4437.974166666669,225,4848,4354,SAI,55,#DC0000,0 days 00:01:05.913000,21
4442.388055555558,227,4807,4332,SAI,55,#DC0000,0 days 00:01:05.983000,21
4455.804722222224,230,4686,4270,SAI,55,#DC0000,0 days 00:01:06.193000,21
4462.927222222224,231,4628,4242,SAI,55,#DC0000,0 days 00:01:06.304000,21
4249.355833333337,219,5407,5930,LEC,16,#FFD700,0 days 00:01:02.490000,21
4264.155833333336,222,5443,5787,LEC,16,#FFD700,0 days 00:01:02.730000,21
4268.593333333336,225,5454,5743,LEC,16,#FFD700,0 days 00:01:02.801000,21
4278.593333333336,225,5481,5648,LEC,16,#FFD700,0 days 00:01:02.961000,21
4281.669444444447,226,5490,5619,LEC,16,#FFD700,0 days 00:01:03.010000,21
4292.956388888892,227,5521,5510,LEC,16,#FFD700,0 days 00:01:03.189000,21
4303.897500000004,229,5544,5403,LEC,16,#FFD700,0 days 00:01:03.361000,21
4306.987222222226,227,5549,5374,LEC,16,#FFD700,0 days 00:01:03.410000,21
4318.924722222226,225,5560,5257,LEC,16,#FFD700,0 days 00:01:03.601000,21
4323.198888888893,223,5562,5213,LEC,16,#FFD700,0 days 00:01:03.670000,21
4330.5655555555595,221,5558,5128,LEC,16,#FFD700,0 days 00:01:03.790000,21
4336.0655555555595,220,5544,5057,LEC,16,#FFD700,0 days 00:01:03.880000,21
4345.798888888893,219,5502,4929,LEC,16,#FFD700,0 days 00:01:04.040000,21
4348.8266666666705,218,5490,4899,LEC,16,#FFD700,0 days 00:01:04.090000,21
4360.332222222226,218,5450,4826,LEC,16,#FFD700,0 days 00:01:04.280000,21
4370.673888888893,219,5409,4777,LEC,16,#FFD700,0 days 00:01:04.450000,21
4382.337777777781,221,5335,4693,LEC,16,#FFD700,0 days 00:01:04.640000,21
4385.421111111114,222,5308,4667,LEC,16,#FFD700,0 days 00:01:04.690000,21
4397.2433333333365,224,5179,4560,LEC,16,#FFD700,0 days 00:01:04.880000,21
4397.930833333337,225,5173,4555,LEC,16,#FFD700,0 days 00:01:04.891000,21
4409.848333333337,227,5084,4489,LEC,16,#FFD700,0 days 00:01:05.080000,21
4420.070555555559,230,5026,4454,LEC,16,#FFD700,0 days 00:01:05.240000,21
4424.5622222222255,231,4994,4435,LEC,16,#FFD700,0 days 00:01:05.310000,21
4437.50666666667,233,4882,4371,LEC,16,#FFD700,0 days 00:01:05.510000,21
4447.9066666666695,234,4789,4322,LEC,16,#FFD700,0 days 00:01:05.670000,21
4448.5622222222255,236,4783,4319,LEC,16,#FFD700,0 days 00:01:05.680000,21
4462.328888888892,236,4659,4258,LEC,16,#FFD700,0 days 00:01:05.890000,21
4464.303888888892,237,4634,4246,LEC,16,#FFD700,0 days 00:01:05.920000,21
