Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
4032.6344444444435,209,4373,7448,SAI,55,#DC0000,0 days 00:00:57.925000,20
4041.1586111111105,193,4459,7464,SAI,55,#DC0000,0 days 00:00:58.084000,20
4044.501944444444,177,4494,7470,SAI,55,#DC0000,0 days 00:00:58.152000,20
4053.335277777777,159,4590,7489,SAI,55,#DC0000,0 days 00:00:58.352000,20
4054.7308333333326,157,4605,7492,SAI,55,#DC0000,0 days 00:00:58.384000,20
4059.897499999999,155,4655,7498,SAI,55,#DC0000,0 days 00:00:58.504000,20
4060.2799999999993,153,4658,7498,SAI,55,#DC0000,0 days 00:00:58.513000,20
4075.057777777777,133,4763,7501,SAI,55,#DC0000,0 days 00:00:58.913000,20
4076.1772222222216,130,4773,7501,SAI,55,#DC0000,0 days 00:00:58.944000,20
4080.7638888888882,128,4816,7495,SAI,55,#DC0000,0 days 00:00:59.073000,20
4081.8055555555547,125,4827,7494,SAI,55,#DC0000,0 days 00:00:59.103000,20
4088.6730555555546,123,4890,7477,SAI,55,#DC0000,0 days 00:00:59.304000,20
4091.6644444444432,121,4915,7465,SAI,55,#DC0000,0 days 00:00:59.393000,20
4091.9977777777767,120,4918,7464,SAI,55,#DC0000,0 days 00:00:59.403000,20
4099.964166666666,119,4976,7418,SAI,55,#DC0000,0 days 00:00:59.644000,20
4103.536944444443,118,4997,7389,SAI,55,#DC0000,0 days 00:00:59.753000,20
4107.867222222221,119,5020,7351,SAI,55,#DC0000,0 days 00:00:59.884000,20
4110.186388888888,121,5029,7328,SAI,55,#DC0000,0 days 00:00:59.953000,20
4113.2955555555545,123,5042,7298,SAI,55,#DC0000,0 days 00:01:00.044000,20
4117.080277777777,125,5056,7258,SAI,55,#DC0000,0 days 00:01:00.153000,20
4123.924444444444,129,5079,7189,SAI,55,#DC0000,0 days 00:01:00.344000,20
4125.697777777777,133,5083,7173,SAI,55,#DC0000,0 days 00:01:00.392000,20
4127.662222222222,136,5089,7157,SAI,55,#DC0000,0 days 00:01:00.444000,20
4133.417777777778,140,5103,7108,SAI,55,#DC0000,0 days 00:01:00.592000,20
4141.311111111111,148,5127,7028,SAI,55,#DC0000,0 days 00:01:00.784000,20
4150.3822222222225,157,5162,6901,SAI,55,#DC0000,0 days 00:01:00.992000,20
4151.857777777778,166,5167,6885,SAI,55,#DC0000,0 days 00:01:01.024000,20
4167.802222222223,175,5195,6777,SAI,55,#DC0000,0 days 00:01:01.352000,20
4170.35888888889,177,5201,6756,SAI,55,#DC0000,0 days 00:01:01.404000,20
4174.35888888889,180,5211,6718,SAI,55,#DC0000,0 days 00:01:01.484000,20
4177.815555555557,183,5220,6682,SAI,55,#DC0000,0 days 00:01:01.552000,20
4192.902222222224,186,5261,6515,SAI,55,#DC0000,0 days 00:01:01.844000,20
4194.380000000002,190,5264,6499,SAI,55,#DC0000,0 days 00:01:01.872000,20
4203.313333333335,201,5283,6417,SAI,55,#DC0000,0 days 00:01:02.032000,20
4215.326666666669,204,5307,6315,SAI,55,#DC0000,0 days 00:01:02.244000,20
4219.926666666668,207,5316,6275,SAI,55,#DC0000,0 days 00:01:02.324000,20
