Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
3380.1611111111088,235,-841,4036,SAI,55,#DC0000,0 days 00:00:49.324000,17
3381.9888888888863,235,-838,4051,SAI,55,#DC0000,0 days 00:00:49.352000,17
3395.044444444442,235,-816,4116,SAI,55,#DC0000,0 days 00:00:49.552000,17
3395.831111111109,236,-814,4122,SAI,55,#DC0000,0 days 00:00:49.564000,17
3411.631111111109,237,-741,4262,SAI,55,#DC0000,0 days 00:00:49.804000,17
3413.489999999998,239,-731,4278,SAI,55,#DC0000,0 days 00:00:49.832000,17
3431.623333333331,240,-618,4426,SAI,55,#DC0000,0 days 00:00:50.104000,17
3432.161111111109,242,-613,4431,SAI,55,#DC0000,0 days 00:00:50.112000,17
3449.311111111109,245,-466,4604,SAI,55,#DC0000,0 days 00:00:50.364000,17
3459.5477777777755,249,-397,4683,SAI,55,#DC0000,0 days 00:00:50.512000,17
3475.85222222222,253,-312,4784,SAI,55,#DC0000,0 days 00:00:50.744000,17
3490.7588888888868,258,-229,4883,SAI,55,#DC0000,0 days 00:00:50.952000,17
3507.449999999998,259,-129,5005,SAI,55,#DC0000,0 days 00:00:51.184000,17
3510.9166666666647,260,-106,5031,SAI,55,#DC0000,0 days 00:00:51.232000,17
3511.789999999998,262,-101,5039,SAI,55,#DC0000,0 days 00:00:51.244000,17
3525.628888888887,265,20,5183,SAI,55,#DC0000,0 days 00:00:51.432000,17
3538.4116666666646,266,127,5308,SAI,55,#DC0000,0 days 00:00:51.605000,17
3546.3474999999985,267,165,5353,SAI,55,#DC0000,0 days 00:00:51.712000,17
3559.1997222222203,269,209,5405,SAI,55,#DC0000,0 days 00:00:51.884000,17
3573.4797222222205,272,285,5496,SAI,55,#DC0000,0 days 00:00:52.073000,17
3578.844166666665,272,330,5548,SAI,55,#DC0000,0 days 00:00:52.144000,17
3591.613055555554,272,471,5711,SAI,55,#DC0000,0 days 00:00:52.313000,17
3377.5261111111117,236,-848,4003,LEC,16,#FFD700,0 days 00:00:48.921000,17
3388.1038888888897,238,-820,4101,LEC,16,#FFD700,0 days 00:00:49.081000,17
3390.013055555556,237,-815,4117,LEC,16,#FFD700,0 days 00:00:49.110000,17
3400.501944444445,236,-777,4200,LEC,16,#FFD700,0 days 00:00:49.270000,17
3406.4675,236,-746,4251,LEC,16,#FFD700,0 days 00:00:49.361000,17
3411.029166666667,238,-721,4290,LEC,16,#FFD700,0 days 00:00:49.430000,17
3419.7625000000007,240,-675,4354,LEC,16,#FFD700,0 days 00:00:49.561000,17
3429.737222222223,241,-606,4441,LEC,16,#FFD700,0 days 00:00:49.710000,17
3430.479722222223,243,-599,4449,LEC,16,#FFD700,0 days 00:00:49.721000,17
3443.342222222223,245,-464,4606,LEC,16,#FFD700,0 days 00:00:49.910000,17
3449.6111111111118,248,-419,4656,LEC,16,#FFD700,0 days 00:00:50.001000,17
3460.677777777779,249,-382,4700,LEC,16,#FFD700,0 days 00:00:50.161000,17
3469.7077777777786,252,-347,4743,LEC,16,#FFD700,0 days 00:00:50.290000,17
3488.8327777777786,255,-225,4887,LEC,16,#FFD700,0 days 00:00:50.560000,17
3489.5438888888893,256,-220,4894,LEC,16,#FFD700,0 days 00:00:50.570000,17
3500.9661111111113,257,-138,4994,LEC,16,#FFD700,0 days 00:00:50.730000,17
3503.1161111111114,258,-124,5010,LEC,16,#FFD700,0 days 00:00:50.760000,17
3515.4411111111117,261,-55,5095,LEC,16,#FFD700,0 days 00:00:50.930000,17
3520.5938888888895,265,-23,5132,LEC,16,#FFD700,0 days 00:00:51,17
3534.6327777777783,266,68,5241,LEC,16,#FFD700,0 days 00:00:51.190000,17
3541.3327777777786,268,112,5291,LEC,16,#FFD700,0 days 00:00:51.280000,17
3548.107777777778,271,156,5343,LEC,16,#FFD700,0 days 00:00:51.370000,17
3556.4800000000005,274,209,5406,LEC,16,#FFD700,0 days 00:00:51.480000,17
3560.2994444444453,275,234,5435,LEC,16,#FFD700,0 days 00:00:51.530000,17
3577.9327777777785,276,346,5566,LEC,16,#FFD700,0 days 00:00:51.760000,17
3586.4577777777786,279,403,5633,LEC,16,#FFD700,0 days 00:00:51.870000,17
