Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
554.2911111111111,244,-3106,-4122,SAI,55,#DC0000,0 days 00:00:08.192000,4
555.5841666666668,245,-3121,-4139,SAI,55,#DC0000,0 days 00:00:08.211000,4
568.0027777777779,247,-3209,-4238,SAI,55,#DC0000,0 days 00:00:08.392000,4
579.1583333333334,251,-3231,-4268,SAI,55,#DC0000,0 days 00:00:08.552000,4
588.9269444444446,253,-3276,-4320,SAI,55,#DC0000,0 days 00:00:08.691000,4
594.5936111111113,255,-3314,-4362,SAI,55,#DC0000,0 days 00:00:08.771000,4
601.803888888889,257,-3362,-4416,SAI,55,#DC0000,0 days 00:00:08.872000,4
608.898888888889,258,-3409,-4469,SAI,55,#DC0000,0 days 00:00:08.971000,4
613.2875000000001,259,-3438,-4501,SAI,55,#DC0000,0 days 00:00:09.032000,4
623.3650000000001,261,-3506,-4576,SAI,55,#DC0000,0 days 00:00:09.171000,4
637.9761111111113,263,-3605,-4683,SAI,55,#DC0000,0 days 00:00:09.371000,4
642.4663888888891,265,-3635,-4715,SAI,55,#DC0000,0 days 00:00:09.432000,4
657.170277777778,266,-3738,-4822,SAI,55,#DC0000,0 days 00:00:09.631000,4
663.200277777778,268,-3783,-4868,SAI,55,#DC0000,0 days 00:00:09.712000,4
678.0700000000002,269,-3906,-4992,SAI,55,#DC0000,0 days 00:00:09.911000,4
678.1450000000002,270,-3906,-4992,SAI,55,#DC0000,0 days 00:00:09.912000,4
690.2338888888889,272,-4019,-5103,SAI,55,#DC0000,0 days 00:00:10.072000,4
702.4561111111112,275,-4135,-5214,SAI,55,#DC0000,0 days 00:00:10.232000,4
711.6125000000002,277,-4201,-5277,SAI,55,#DC0000,0 days 00:00:10.351000,4
727.19,279,-4266,-5339,SAI,55,#DC0000,0 days 00:00:10.552000,4
739.5566666666667,280,-4326,-5394,SAI,55,#DC0000,0 days 00:00:10.711000,4
742.7569444444446,281,-4348,-5414,SAI,55,#DC0000,0 days 00:00:10.752000,4
748.9233333333334,281,-4395,-5457,SAI,55,#DC0000,0 days 00:00:10.831000,4
761.4566666666667,282,-4488,-5541,SAI,55,#DC0000,0 days 00:00:10.991000,4
550.7961111111108,246,-3083,-4099,LEC,16,#FFD700,0 days 00:00:08.200000,4
552.8627777777775,248,-3099,-4116,LEC,16,#FFD700,0 days 00:00:08.230000,4
567.4461111111108,250,-3164,-4190,LEC,16,#FFD700,0 days 00:00:08.440000,4
570.9461111111108,252,-3181,-4210,LEC,16,#FFD700,0 days 00:00:08.490000,4
590.779444444444,255,-3311,-4360,LEC,16,#FFD700,0 days 00:00:08.770000,4
595.7961111111107,258,-3344,-4397,LEC,16,#FFD700,0 days 00:00:08.840000,4
602.3430555555551,259,-3387,-4445,LEC,16,#FFD700,0 days 00:00:08.931000,4
618.231944444444,260,-3495,-4564,LEC,16,#FFD700,0 days 00:00:09.151000,4
618.9597222222218,262,-3499,-4569,LEC,16,#FFD700,0 days 00:00:09.161000,4
632.8722222222218,265,-3594,-4671,LEC,16,#FFD700,0 days 00:00:09.350000,4
642.6244444444441,268,-3708,-4790,LEC,16,#FFD700,0 days 00:00:09.481000,4
649.1999999999997,269,-3780,-4865,LEC,16,#FFD700,0 days 00:00:09.569000,4
657.6311111111107,271,-3838,-4925,LEC,16,#FFD700,0 days 00:00:09.681000,4
672.7977777777775,273,-3884,-4969,LEC,16,#FFD700,0 days 00:00:09.881000,4
678.049444444444,274,-3908,-4993,LEC,16,#FFD700,0 days 00:00:09.950000,4
694.149444444444,276,-4020,-5104,LEC,16,#FFD700,0 days 00:00:10.160000,4
694.841944444444,277,-4027,-5111,LEC,16,#FFD700,0 days 00:00:10.169000,4
709.6444444444439,279,-4193,-5269,LEC,16,#FFD700,0 days 00:00:10.360000,4
713.4555555555552,280,-4229,-5303,LEC,16,#FFD700,0 days 00:00:10.409000,4
734.6838888888884,282,-4331,-5398,LEC,16,#FFD700,0 days 00:00:10.680000,4
741.7838888888884,284,-4367,-5430,LEC,16,#FFD700,0 days 00:00:10.770000,4
760.0561111111107,286,-4502,-5550,LEC,16,#FFD700,0 days 00:00:11,4
