Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
1638.6150000000005,277,-10976,-4191,SAI,55,#DC0000,0 days 00:00:26.671000,9
1647.9588888888895,278,-11001,-4132,SAI,55,#DC0000,0 days 00:00:26.792000,9
1660.2372222222227,278,-11037,-4049,SAI,55,#DC0000,0 days 00:00:26.951000,9
1672.7147222222225,279,-11085,-3938,SAI,55,#DC0000,0 days 00:00:27.112000,9
1686.5375000000004,278,-11151,-3789,SAI,55,#DC0000,0 days 00:00:27.291000,9
1700.5147222222226,278,-11225,-3619,SAI,55,#DC0000,0 days 00:00:27.472000,9
1703.5263888888892,278,-11239,-3589,SAI,55,#DC0000,0 days 00:00:27.511000,9
1725.1486111111114,278,-11311,-3431,SAI,55,#DC0000,0 days 00:00:27.791000,9
1731.4036111111113,278,-11336,-3375,SAI,55,#DC0000,0 days 00:00:27.872000,9
1737.4822222222224,277,-11363,-3318,SAI,55,#DC0000,0 days 00:00:27.951000,9
1743.7147222222225,277,-11389,-3260,SAI,55,#DC0000,0 days 00:00:28.032000,9
1757.4877777777779,277,-11447,-3137,SAI,55,#DC0000,0 days 00:00:28.211000,9
1765.259166666667,277,-11481,-3067,SAI,55,#DC0000,0 days 00:00:28.312000,9
1771.1402777777778,268,-11509,-3014,SAI,55,#DC0000,0 days 00:00:28.391000,9
1789.8458333333335,259,-11602,-2843,SAI,55,#DC0000,0 days 00:00:28.651000,9
1796.887777777778,251,-11638,-2782,SAI,55,#DC0000,0 days 00:00:28.752000,9
1806.4247222222223,247,-11688,-2702,SAI,55,#DC0000,0 days 00:00:28.891000,9
1807.8422222222223,243,-11695,-2689,SAI,55,#DC0000,0 days 00:00:28.912000,9
1818.108888888889,231,-11752,-2599,SAI,55,#DC0000,0 days 00:00:29.072000,9
1824.351388888889,227,-11784,-2544,SAI,55,#DC0000,0 days 00:00:29.171000,9
1828.13,223,-11801,-2510,SAI,55,#DC0000,0 days 00:00:29.232000,9
1835.4022222222222,220,-11829,-2446,SAI,55,#DC0000,0 days 00:00:29.351000,9
1846.2522222222221,217,-11850,-2346,SAI,55,#DC0000,0 days 00:00:29.531000,9
1847.5063888888888,215,-11850,-2333,SAI,55,#DC0000,0 days 00:00:29.552000,9
1634.58861111111,279,-10982,-4176,LEC,16,#FFD700,0 days 00:00:26.800000,9
1650.2552777777764,282,-11036,-4054,LEC,16,#FFD700,0 days 00:00:27,9
1665.1913888888876,283,-11086,-3938,LEC,16,#FFD700,0 days 00:00:27.190000,9
1669.9247222222207,284,-11105,-3894,LEC,16,#FFD700,0 days 00:00:27.250000,9
1675.4858333333318,286,-11127,-3842,LEC,16,#FFD700,0 days 00:00:27.320000,9
1698.6849999999986,287,-11229,-3611,LEC,16,#FFD700,0 days 00:00:27.611000,9
1714.6049999999984,288,-11317,-3418,LEC,16,#FFD700,0 days 00:00:27.810000,9
1717.013333333332,289,-11327,-3396,LEC,16,#FFD700,0 days 00:00:27.840000,9
1737.2216666666652,291,-11384,-3271,LEC,16,#FFD700,0 days 00:00:28.090000,9
1746.174444444443,293,-11420,-3192,LEC,16,#FFD700,0 days 00:00:28.200000,9
1762.8786111111099,285,-11503,-3023,LEC,16,#FFD700,0 days 00:00:28.411000,9
1771.265555555554,277,-11538,-2956,LEC,16,#FFD700,0 days 00:00:28.520000,9
1774.9322222222208,264,-11554,-2928,LEC,16,#FFD700,0 days 00:00:28.570000,9
1788.3022222222207,252,-11620,-2811,LEC,16,#FFD700,0 days 00:00:28.761000,9
1792.9883333333319,241,-11645,-2771,LEC,16,#FFD700,0 days 00:00:28.831000,9
1804.4883333333319,230,-11708,-2671,LEC,16,#FFD700,0 days 00:00:29.011000,9
1811.210555555554,220,-11749,-2603,LEC,16,#FFD700,0 days 00:00:29.121000,9
1817.7808333333319,217,-11785,-2543,LEC,16,#FFD700,0 days 00:00:29.230000,9
1824.9474999999986,215,-11811,-2490,LEC,16,#FFD700,0 days 00:00:29.350000,9
1827.9649999999986,213,-11820,-2459,LEC,16,#FFD700,0 days 00:00:29.401000,9
1843.581944444443,209,-11850,-2250,LEC,16,#FFD700,0 days 00:00:29.670000,9
1844.208333333332,205,-11850,-2243,LEC,16,#FFD700,0 days 00:00:29.681000,9
