Driver,LapTime,Distance,Speed,GapTime
VER,01:32.608,1889.089166666667,196,0.0
VER,01:32.608,1909.3891666666673,203,0.0
VER,01:32.608,1918.589166666667,207,0.0
VER,01:32.608,1945.233611111112,218,0.0
VER,01:32.608,1962.1891666666672,218,0.0
VER,01:32.608,1971.8780555555563,218,0.0
VER,01:32.608,1991.7002777777786,223,0.0
VER,01:32.608,2011.8780555555563,227,0.0
VER,01:32.608,2027.4113888888899,233,0.0
VER,01:32.608,2043.2780555555562,238,0.0
VER,01:32.608,2053.944722222223,240,0.0
VER,01:32.608,2073.0002777777786,245,0.0
VER,01:32.608,2092.289166666667,248,0.0
VER,01:32.608,2118.2891666666674,234,0.0
VER,01:32.608,2131.289166666667,234,0.0
VER,01:32.608,2142.678055555556,205,0.0
VER,01:32.608,2157.4336111111115,166,0.0
VER,01:32.608,2168.3611111111113,141,0.0
VER,01:32.608,2178.316666666667,128,0.0
VER,01:32.608,2188.745555555556,104,0.0
VER,01:32.608,2193.1900000000005,100,0.0
VER,01:32.608,2199.723333333334,98,0.0
VER,01:32.608,2204.7788888888895,91,0.0
VER,01:32.608,2215.1677777777786,85,0.0
VER,01:32.608,2219.612222222223,80,0.0
VER,01:32.608,2225.601111111112,77,0.0
VER,01:32.608,2232.6233333333344,79,0.0
VER,01:32.608,2239.1566666666677,84,0.0
VER,01:32.608,2243.9344444444455,86,0.0
VER,01:32.608,2253.2344444444457,93,0.0
VER,01:32.608,2265.3455555555565,109,0.0
VER,01:32.608,2270.190000000001,109,0.0
VER,01:32.608,2276.912222222223,121,0.0
VER,01:32.608,2285.6455555555567,131,0.0
VER,01:32.608,2291.956666666668,142,0.0
VER,01:32.608,2298.756666666668,153,0.0
VER,01:32.608,2309.5566666666678,162,0.0
VER,01:32.608,2317.1122222222234,170,0.0
VER,01:32.608,2333.2900000000013,182,0.0
VER,01:32.608,2341.5566666666678,186,0.0
VER,01:32.608,2354.6233333333344,196,0.0
VER,01:32.608,2368.090000000001,202,0.0
VER,01:32.608,2377.423333333334,210,0.0
VER,01:32.608,2404.007222222223,218,0.0
VER,01:32.608,2414.0516666666676,226,0.0
VER,01:32.608,2426.893333333334,230,0.0
VER,01:32.608,2442.3600000000006,232,0.0
VER,01:32.608,2458.293333333334,239,0.0
VER,01:32.608,2477.193333333334,243,0.0
VER,01:32.608,2496.482222222223,248,0.0
VER,01:32.608,2518.526666666667,248,0.0
VER,01:32.608,2541.1933333333336,255,0.0
VER,01:32.608,2570.5266666666666,240,0.0
VER,01:32.608,2580.2155555555555,218,0.0
VER,01:32.608,2594.2155555555555,210,0.0
VER,01:32.608,2604.6044444444447,187,0.0
VER,01:32.608,2617.071111111111,187,0.0
VER,01:32.608,2632.96,143,0.0
VER,01:32.608,2641.3599999999997,126,0.0
VER,01:32.608,2647.804444444444,116,0.0
VER,01:32.608,2656.126666666666,107,0.0
VER,01:32.608,2664.215555555555,91,0.0
VER,01:32.608,2670.1488888888885,89,0.0
VER,01:32.608,2674.704444444444,82,0.0
VER,01:32.608,2680.693333333333,77,0.0
VER,01:32.608,2686.604444444444,76,0.0
VER,01:32.608,2691.5377777777776,74,0.0
VER,01:32.608,2698.56,79,0.0
VER,01:32.608,2703.0044444444443,80,0.0
VER,01:32.608,2708.7802777777774,87,0.0
VER,01:32.608,2715.206944444444,96,0.0
VER,01:32.608,2724.4513888888887,104,0.0
VER,01:32.608,2730.673611111111,112,0.0
VER,01:32.608,2740.6291666666666,128,0.0
VER,01:32.608,2789.795833333333,177,0.0
VER,01:32.608,2802.395833333333,189,0.0
VER,01:32.608,2832.006944444444,205,0.0
VER,01:32.608,2841.2513888888884,208,0.0
VER,01:32.608,2850.7624999999994,214,0.0
VER,01:32.608,2865.4291666666663,220,0.0
VER,01:32.608,2875.4291666666663,225,0.0
VER,01:32.608,2895.9624999999996,231,0.0
VER,01:32.608,2919.9624999999996,240,0.0
VER,01:32.608,2944.4624999999996,245,0.0
VER,01:32.608,2961.0625,249,0.0
VER,01:32.608,2975.229166666667,255,0.0
VER,01:32.608,2995.218055555556,257,0.0
VER,01:32.608,3015.5180555555557,261,0.0
VER,01:32.608,3033.118055555556,264,0.0
VER,01:32.608,3044.895833333334,265,0.0
VER,01:32.608,3062.7625000000003,268,0.0
VER,01:32.608,3080.7625000000003,270,0.0
VER,01:32.608,3101.92,273,0.0
VER,01:32.608,3123.463333333334,276,0.0
VER,01:32.608,3138.907777777778,278,0.0
VER,01:32.608,3160.6855555555558,280,0.0
VER,01:32.608,3182.618888888889,282,0.0
VER,01:32.608,3204.707777777778,284,0.0
VER,01:32.608,3230.1300000000006,286,0.0
VER,01:32.608,3249.2633333333333,287,0.0
VER,01:32.608,3265.2633333333333,288,0.0
VER,01:32.608,3281.2633333333333,288,0.0
VER,01:32.608,3294.063333333333,288,0.0
VER,01:32.608,3306.1966666666667,273,0.0
VER,01:32.608,3325.796666666666,252,0.0
VER,01:32.608,3341.1966666666663,231,0.0
VER,01:32.608,3353.0299999999997,213,0.0
VER,01:32.608,3369.9188888888884,190,0.0
VER,01:32.608,3383.4522222222217,174,0.0
VER,01:32.608,3398.563333333333,170,0.0
VER,01:32.608,3409.4299999999994,163,0.0
VER,01:32.608,3428.4966666666664,156,0.0
VER,01:32.608,3450.2299999999996,163,0.0
VER,01:32.608,3469.2299999999996,171,0.0
VER,01:32.608,3487.4299999999994,182,0.0
VER,01:32.608,3495.785555555555,188,0.0
VER,01:32.608,3504.3188888888885,192,0.0
VER,01:32.608,3522.1855555555553,201,0.0
VER,01:32.608,3533.741111111111,208,0.0
VER,01:32.608,3560.018888888889,215,0.0
VER,01:32.608,3579.9300000000003,224,0.0
VER,01:32.608,3595.0633333333335,227,0.0
VER,01:32.608,3613.107777777778,232,0.0
VER,01:32.608,3623.507777777778,234,0.0
VER,01:32.608,3652.963333333333,241,0.0
VER,01:32.608,3672.252222222222,248,0.0
VER,01:32.608,3686.0299999999997,248,0.0
VER,01:32.608,3702.8299999999995,252,0.0
VER,01:32.608,3725.4966666666664,255,0.0
VER,01:32.608,3745.4855555555555,257,0.0
VER,01:32.608,3768.4188888888884,258,0.0
VER,01:32.608,3794.0188888888883,256,0.0
VER,01:32.608,3811.085555555556,256,0.0
VER,01:32.608,3822.4633333333336,256,0.0
VER,01:32.608,3839.5299999999997,256,0.0
VER,01:32.608,3853.8077777777776,257,0.0
VER,01:32.608,3868.141111111111,258,0.0
VER,01:32.608,3888.3633333333332,260,0.0
VER,01:32.608,3902.918888888889,262,0.0
VER,01:32.608,3935.3077777777776,265,0.0
VER,01:32.608,3947.085555555555,265,0.0
VER,01:32.608,3969.8230555555547,255,0.0
VER,01:32.608,3990.026388888888,228,0.0
VER,01:32.608,4001.6374999999994,209,0.0
VER,01:32.608,4021.4152777777767,178,0.0
VER,01:32.608,4039.415277777777,162,0.0
VER,01:32.608,4049.415277777777,150,0.0
VER,01:32.608,4060.7708333333326,146,0.0
VER,01:32.608,4071.7374999999993,141,0.0
VER,01:32.608,4080.937499999999,138,0.0
VER,01:32.608,4088.715277777777,140,0.0
VER,01:32.608,4095.026388888888,142,0.0
VER,01:32.608,4106.070833333332,142,0.0
VER,01:32.608,4116.3375,154,0.0
VER,01:32.608,4129.170833333333,165,0.0
VER,01:32.608,4138.559722222221,169,0.0
VER,01:32.608,4152.637499999999,181,0.0
VER,01:32.608,4165.504166666666,193,0.0
VER,01:32.608,4174.2152777777765,196,0.0
VER,01:32.608,4192.793055555554,209,0.0
VER,01:32.608,4202.2152777777765,212,0.0
VER,01:32.608,4216.681944444443,217,0.0
VER,01:32.608,4229.070833333331,223,0.0
VER,01:32.608,4241.681944444443,227,0.0
VER,01:32.608,4257.281944444442,234,0.0
VER,01:32.608,4275.948611111109,240,0.0
VER,01:32.608,4295.004166666665,245,0.0
VER,01:32.608,4320.173888888888,251,0.0
VER,01:32.608,4342.858333333331,256,0.0
VER,01:32.608,4354.369444444443,259,0.0
VER,01:32.608,4368.924999999997,262,0.0
VER,01:32.608,4380.5694444444425,262,0.0
VER,01:32.608,4395.291666666664,265,0.0
VER,01:32.608,4410.180555555553,268,0.0
VER,01:32.608,4434.358333333331,272,0.0
VER,01:32.608,4446.536111111109,274,0.0
VER,01:32.608,4458.7583333333305,275,0.0
VER,01:32.608,4480.45833333333,279,0.0
VER,01:32.608,4495.95833333333,279,0.0
VER,01:32.608,4511.680555555553,283,0.0
VER,01:32.608,4524.2583333333305,283,0.0
VER,01:32.608,4549.5916666666635,285,0.0
VER,01:32.608,4571.913888888886,287,0.0
VER,01:32.608,4591.180555555553,289,0.0
VER,01:32.608,4613.813888888886,291,0.0
VER,01:32.608,4629.980555555552,291,0.0
VER,01:32.608,4649.513888888886,293,0.0
VER,01:32.608,4662.536111111108,293,0.0
VER,01:32.608,4682.136111111107,294,0.0
VER,01:32.608,4701.736111111108,294,0.0
VER,01:32.608,4727.958333333329,295,0.0
VER,01:32.608,4747.4249999999965,292,0.0
VER,01:32.608,4776.091666666663,258,0.0
VER,01:32.608,4799.536111111107,211,0.0
VER,01:32.608,4815.853611111107,183,0.0
VER,01:32.608,4828.098611111107,158,0.0
VER,01:32.608,4834.854166666662,152,0.0
VER,01:32.608,4844.387499999996,143,0.0
VER,01:32.608,4860.398611111107,131,0.0
VER,01:32.608,4867.3430555555515,125,0.0
VER,01:32.608,4875.409722222218,121,0.0
VER,01:32.608,4889.187499999996,124,0.0
VER,01:32.608,4896.243055555552,127,0.0
VER,01:32.608,4903.520833333329,131,0.0
VER,01:32.608,4909.476388888886,134,0.0
VER,01:32.608,4917.309722222219,141,0.0
VER,01:32.608,4925.587499999997,149,0.0
VER,01:32.608,4938.187499999997,162,0.0
VER,01:32.608,4945.787499999997,171,0.0
VER,01:32.608,4966.454166666664,186,0.0
VER,01:32.608,4979.387499999997,194,0.0
VER,01:32.608,5004.565277777775,206,0.0
VER,01:32.608,5028.787499999998,218,0.0
VER,01:32.608,5043.654166666664,223,0.0
VER,01:32.608,5066.954166666665,233,0.0
VER,01:32.608,5077.443055555555,236,0.0
VER,01:32.608,5110.109722222221,245,0.0
VER,01:32.608,5126.845833333332,250,0.0
VER,01:32.608,5149.512499999999,255,0.0
VER,01:32.608,5160.93472222222,257,0.0
VER,01:32.608,5178.262222222221,261,0.0
VER,01:32.608,5192.817777777776,262,0.0
VER,01:32.608,5222.4844444444425,267,0.0
VER,01:32.608,5237.428888888887,269,0.0
VER,01:32.608,5255.628888888887,273,0.0
VER,01:32.608,5277.017777777775,275,0.0
VER,01:32.608,5301.728888888887,278,0.0
VER,01:32.608,5314.128888888887,279,0.0
VER,01:32.608,5326.617777777776,281,0.0
VER,01:32.608,5354.917777777776,283,0.0
LEC,01:34.090,18.006666666666664,296,-0.00812237762237758
LEC,01:34.090,34.617777777777775,299,-0.01713240418118467
LEC,01:34.090,47.995555555555555,301,-0.024723183391003545
LEC,01:34.090,61.41777777777778,302,-0.03192041522491351
LEC,01:34.090,85.13999999999999,305,-0.04540549828178686
LEC,01:34.090,108.93999999999998,306,-0.05983848797250846
LEC,01:34.090,122.62888888888888,308,-0.06812627986348097
LEC,01:34.090,136.36222222222221,309,-0.07686348122866882
LEC,01:34.090,160.47333333333333,310,-0.0931092150170647
LEC,01:34.090,191.8733333333333,314,-0.1169796610169489
LEC,01:34.090,209.37333333333333,315,-0.13053898305084743
LEC,01:34.090,234.10666666666665,318,-0.15076430976430943
LEC,01:34.090,251.77333333333334,318,-0.1649057239057239
LEC,01:34.090,280.21777777777777,320,-0.18875838926174549
LEC,01:34.090,352.21777777777777,324,-0.2541860465116281
LEC,01:34.090,373.8177777777778,324,-0.27252491694352177
LEC,01:34.090,391.81777777777774,324,-0.2878073089701001
LEC,01:34.090,413.41777777777776,324,-0.30614617940199373
LEC,01:34.090,442.21777777777777,324,-0.330598006644518
LEC,01:34.090,467.4177777777778,324,-0.35199335548172783
LEC,01:34.090,485.3066666666666,322,-0.3659468438538198
LEC,01:34.090,510.3511111111111,322,-0.38612
LEC,01:34.090,524.5733333333334,320,-0.3967866666666673
LEC,01:34.090,560.0177777777778,319,-0.4234180602006701
LEC,01:34.090,583.428888888889,301,-0.4437000000000024
LEC,01:34.090,598.6511111111113,274,-0.44778823529412115
LEC,01:34.090,610.2955555555558,262,-0.45850434782609195
LEC,01:34.090,634.7400000000002,200,-0.40111304347826593
LEC,01:34.090,646.6733333333336,179,-0.3668743169398976
LEC,01:34.090,653.7400000000004,159,-0.35189610389611303
LEC,01:34.090,661.5177777777781,140,-0.34473846153847276
LEC,01:34.090,667.3844444444447,132,-0.3472000000000115
LEC,01:34.090,672.6288888888892,118,-0.35032727272728437
LEC,01:34.090,681.5177777777781,100,-0.3290099009901102
LEC,01:34.090,691.5400000000003,82,-0.27487356321840295
LEC,01:34.090,699.0400000000003,75,-0.2325316455696349
LEC,01:34.090,702.1511111111114,70,-0.21574324324325822
LEC,01:34.090,707.2066666666669,65,-0.1816891891892034
LEC,01:34.090,714.6622222222225,61,-0.12695652173914418
LEC,01:34.090,717.3733333333336,61,-0.11178787878789542
LEC,01:34.090,720.1288888888892,62,-0.10107462686569058
LEC,01:34.090,725.1066666666669,64,-0.07919444444446455
LEC,01:34.090,731.2400000000002,69,-0.05110256410258174
LEC,01:34.090,736.5066666666669,79,-0.04332530120483469
LEC,01:34.090,750.3733333333336,96,-0.06134000000001372
LEC,01:34.090,762.9288888888891,113,-0.03347200000001038
LEC,01:34.090,769.6511111111114,121,-0.023741007194255204
LEC,01:34.090,775.2066666666669,125,-0.007625899280586879
LEC,01:34.090,782.4844444444446,131,0.009739726027387263
LEC,01:34.090,790.0955555555557,137,0.022068493150676716
LEC,01:34.090,796.4066666666669,142,0.031072847682109384
LEC,01:34.090,806.4066666666669,150,0.03266225165562098
LEC,01:34.090,813.2511111111113,154,0.03953374233128315
LEC,01:34.090,822.1400000000001,160,0.04686904761904209
LEC,01:34.090,839.5400000000002,174,0.050844919786090514
LEC,01:34.090,856.0733333333335,186,0.055769633507846805
LEC,01:34.090,871.3177777777779,196,0.05302463054186468
LEC,01:34.090,894.428888888889,208,0.047846889952147365
LEC,01:34.090,903.6733333333334,208,0.05241666666666234
LEC,01:34.090,915.5622222222222,214,0.055572727272723554
LEC,01:34.090,925.2955555555556,219,0.05721585903083337
LEC,01:34.090,942.8733333333333,226,0.05915879828325643
LEC,01:34.090,955.651111111111,230,0.06173390557939484
LEC,01:34.090,965.9622222222222,232,0.06482231404958227
LEC,01:34.090,984.461388888889,237,0.0706280991735504
LEC,01:34.090,1014.2158333333334,244,0.07183870967741512
LEC,01:34.090,1042.104722222222,251,0.07369960474308357
LEC,01:34.090,1070.7713888888886,258,0.07280000000000086
LEC,01:34.090,1099.8825,262,0.0730000000000004
LEC,01:34.090,1111.6602777777778,265,0.07319402985074674
LEC,01:34.090,1135.393611111111,267,0.07438805970149076
LEC,01:34.090,1156.315833333333,269,0.07647058823529562
LEC,01:34.090,1168.4491666666665,273,0.0762481751824815
LEC,01:34.090,1192.9824999999998,276,0.07410181818181627
LEC,01:34.090,1226.9602777777777,278,0.07240860215053502
LEC,01:34.090,1258.293611111111,282,0.0697163120567339
LEC,01:34.090,1280.3047222222222,283,0.06884507042253318
LEC,01:34.090,1305.4602777777777,283,0.06997183098591364
LEC,01:34.090,1379.8602777777778,279,0.0885907473309615
LEC,01:34.090,1401.4602777777777,243,0.10388047808764966
LEC,01:34.090,1419.9491666666665,208,0.1191428571428581
LEC,01:34.090,1428.6602777777778,196,0.11911731843575524
LEC,01:34.090,1439.8602777777776,168,0.1338659217877094
LEC,01:34.090,1446.7491666666665,155,0.1502453987730057
LEC,01:34.090,1457.5988888888887,139,0.18078145695364256
LEC,01:34.090,1467.8288888888887,132,0.2028417266187077
LEC,01:34.090,1481.3844444444444,122,0.2411954887218073
LEC,01:34.090,1487.9955555555555,119,0.2589307692307692
LEC,01:34.090,1495.7288888888888,116,0.27697580645161324
LEC,01:34.090,1500.84,115,0.28858870967742334
LEC,01:34.090,1511.3288888888887,118,0.29977868852459366
LEC,01:34.090,1522.1733333333332,122,0.305528000000006
LEC,01:34.090,1527.6399999999999,123,0.31185384615385203
LEC,01:34.090,1543.5288888888888,130,0.3197851851851965
LEC,01:34.090,1556.062222222222,141,0.3196066666666759
LEC,01:34.090,1565.9288888888887,148,0.3312754491018062
LEC,01:34.090,1580.4177777777775,163,0.33894011976049043
LEC,01:34.090,1597.9177777777775,175,0.32906557377050305
LEC,01:34.090,1614.273333333333,184,0.336314432989699
LEC,01:34.090,1627.4066666666665,197,0.3354522613065427
LEC,01:34.090,1641.0066666666664,204,0.33759345794393525
LEC,01:34.090,1650.3399999999997,210,0.34058411214954276
LEC,01:34.090,1669.6288888888887,217,0.33768584070797303
LEC,01:34.090,1679.5399999999997,223,0.33980973451328467
LEC,01:34.090,1705.0955555555552,230,0.3391106382978819
LEC,01:34.090,1715.4511111111108,233,0.3404723404255421
LEC,01:34.090,1728.5622222222219,236,0.34183750000000757
LEC,01:34.090,1741.951111111111,241,0.34206967213115647
LEC,01:34.090,1752.751111111111,243,0.343008097165999
LEC,01:34.090,1771.5624999999998,241,0.3498340080971758
LEC,01:34.090,1792.1202777777776,232,0.35957847533633114
LEC,01:34.090,1813.7202777777775,216,0.3677196261682383
LEC,01:34.090,1822.875833333333,206,0.3719507389162686
LEC,01:34.090,1836.1425,199,0.37667980295567816
LEC,01:34.090,1852.9424999999999,189,0.38991836734695084
LEC,01:34.090,1875.4313888888887,184,0.4168571428571539
LEC,01:34.090,1896.0980555555552,186,0.4417044334975486
LEC,01:34.090,1904.4980555555553,189,0.45273891625617324
LEC,01:34.090,1919.8202777777776,197,0.46566972477065605
LEC,01:34.090,1945.1202777777776,207,0.4878715596330423
LEC,01:34.090,1959.1869444444444,211,0.4955779816513939
LEC,01:34.090,1971.075833333333,214,0.4992477064220324
LEC,01:34.090,1990.2758333333331,216,0.5089955156950836
LEC,01:34.090,2004.9424999999999,220,0.515991189427325
LEC,01:34.090,2017.2758333333334,222,0.5226008583691097
LEC,01:34.090,2035.1647222222218,230,0.5287226890756429
LEC,01:34.090,2056.0536111111105,235,0.5350122448979704
LEC,01:34.090,2074.7202777777775,240,0.5410322580645257
LEC,01:34.090,2088.1647222222223,242,0.5458709677419407
LEC,01:34.090,2117.4980555555553,240,0.53817094017095
LEC,01:34.090,2138.8313888888883,192,0.5935512195122072
LEC,01:34.090,2146.970833333333,182,0.5939036144578509
LEC,01:34.090,2157.4374999999995,157,0.6069007092198788
LEC,01:34.090,2163.970833333333,147,0.6000921985815779
LEC,01:34.090,2174.7813888888886,122,0.6264296875000213
LEC,01:34.090,2181.2813888888886,117,0.624375000000029
LEC,01:34.090,2188.214722222222,104,0.6243750000000219
LEC,01:34.090,2193.603611111111,97,0.6308061224489947
LEC,01:34.090,2201.6925,91,0.6480989010989191
LEC,01:34.090,2208.3036111111114,85,0.6567176470588407
LEC,01:34.090,2212.8036111111114,81,0.6661294117647216
LEC,01:34.090,2219.825833333334,79,0.6760129870130029
LEC,01:34.090,2223.248055555556,77,0.6760129870129958
LEC,01:34.090,2229.314722222223,78,0.6767721518987528
LEC,01:34.090,2236.5147222222226,81,0.6792261904762213
