Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
4902.97277777778,245,3539,1080,SAI,55,#DC0000,0 days 00:01:15.764000,24
4910.41277777778,248,3467,1007,SAI,55,#DC0000,0 days 00:01:15.872000,24
4927.21277777778,252,3333,871,SAI,55,#DC0000,0 days 00:01:16.112000,24
4930.85277777778,252,3312,850,SAI,55,#DC0000,0 days 00:01:16.164000,24
4941.21277777778,252,3269,806,SAI,55,#DC0000,0 days 00:01:16.312000,24
4954.866111111113,256,3212,748,SAI,55,#DC0000,0 days 00:01:16.504000,24
4961.221666666668,260,3166,701,SAI,55,#DC0000,0 days 00:01:16.592000,24
4967.9641666666685,261,3116,649,SAI,55,#DC0000,0 days 00:01:16.685000,24
4981.041111111113,263,3029,560,SAI,55,#DC0000,0 days 00:01:16.864000,24
4990.463333333336,265,2933,462,SAI,55,#DC0000,0 days 00:01:16.992000,24
5002.241111111113,265,2807,333,SAI,55,#DC0000,0 days 00:01:17.152000,24
5003.198055555558,265,2800,326,SAI,55,#DC0000,0 days 00:01:17.165000,24
5014.018888888891,265,2738,263,SAI,55,#DC0000,0 days 00:01:17.312000,24
5032.218888888891,273,2669,192,SAI,55,#DC0000,0 days 00:01:17.552000,24
5034.654444444446,274,2651,174,SAI,55,#DC0000,0 days 00:01:17.584000,24
5047.487777777779,275,2523,43,SAI,55,#DC0000,0 days 00:01:17.752000,24
5050.026944444446,277,2501,21,SAI,55,#DC0000,0 days 00:01:17.785000,24
5066.069444444446,279,2414,-66,SAI,55,#DC0000,0 days 00:01:17.992000,24
5074.826944444446,279,2371,-110,SAI,55,#DC0000,0 days 00:01:18.105000,24
5078.560277777779,280,2348,-132,SAI,55,#DC0000,0 days 00:01:18.153000,24
5098.074166666668,281,2207,-278,SAI,55,#DC0000,0 days 00:01:18.403000,24
5100.4241666666685,282,2190,-295,SAI,55,#DC0000,0 days 00:01:18.433000,24
5115.43888888889,283,2087,-401,SAI,55,#DC0000,0 days 00:01:18.624000,24
5119.318055555557,285,2060,-429,SAI,55,#DC0000,0 days 00:01:18.673000,24
5123.290277777779,286,2033,-458,SAI,55,#DC0000,0 days 00:01:18.723000,24
5135.248611111113,287,1951,-545,SAI,55,#DC0000,0 days 00:01:18.873000,24
5136.125555555557,287,1945,-552,SAI,55,#DC0000,0 days 00:01:18.884000,24
5154.445555555557,288,1818,-685,SAI,55,#DC0000,0 days 00:01:19.113000,24
5164.925555555557,288,1747,-760,SAI,55,#DC0000,0 days 00:01:19.244000,24
5170.464722222224,289,1710,-798,SAI,55,#DC0000,0 days 00:01:19.313000,24
5177.795277777779,290,1662,-850,SAI,55,#DC0000,0 days 00:01:19.404000,24
5192.264444444446,291,1561,-955,SAI,55,#DC0000,0 days 00:01:19.583000,24
