Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
118.27277777777776,298,474,-2097,SAI,55,#DC0000,0 days 00:00:01.432000,2
124.8122222222222,298,447,-2127,SAI,55,#DC0000,0 days 00:00:01.511000,2
139.7122222222222,298,344,-2235,SAI,55,#DC0000,0 days 00:00:01.691000,2
144.76166666666666,298,308,-2272,SAI,55,#DC0000,0 days 00:00:01.752000,2
157.9172222222222,296,217,-2367,SAI,55,#DC0000,0 days 00:00:01.912000,2
161.11305555555555,295,196,-2390,SAI,55,#DC0000,0 days 00:00:01.951000,2
184.0613888888889,294,37,-2556,SAI,55,#DC0000,0 days 00:00:02.232000,2
187.24638888888887,294,16,-2580,SAI,55,#DC0000,0 days 00:00:02.271000,2
197.12805555555553,294,-52,-2652,SAI,55,#DC0000,0 days 00:00:02.392000,2
201.92999999999998,293,-85,-2687,SAI,55,#DC0000,0 days 00:00:02.451000,2
216.66138888888887,293,-184,-2792,SAI,55,#DC0000,0 days 00:00:02.632000,2
219.82472222222216,292,-208,-2817,SAI,55,#DC0000,0 days 00:00:02.671000,2
229.6391666666666,292,-285,-2898,SAI,55,#DC0000,0 days 00:00:02.792000,2
232.7916666666666,291,-309,-2923,SAI,55,#DC0000,0 days 00:00:02.831000,2
247.3416666666666,291,-409,-3029,SAI,55,#DC0000,0 days 00:00:03.011000,2
252.27249999999995,291,-449,-3072,SAI,55,#DC0000,0 days 00:00:03.072000,2
267.63972222222213,278,-590,-3222,SAI,55,#DC0000,0 days 00:00:03.271000,2
279.53583333333324,266,-657,-3292,SAI,55,#DC0000,0 days 00:00:03.432000,2
288.32861111111106,266,-693,-3329,SAI,55,#DC0000,0 days 00:00:03.551000,2
297.2691666666666,266,-728,-3365,SAI,55,#DC0000,0 days 00:00:03.672000,2
314.0322222222221,233,-835,-3461,SAI,55,#DC0000,0 days 00:00:03.931000,2
315.20472222222213,201,-848,-3471,SAI,55,#DC0000,0 days 00:00:03.952000,2
323.94972222222214,198,-963,-3558,SAI,55,#DC0000,0 days 00:00:04.111000,2
324.0041666666666,196,-963,-3558,SAI,55,#DC0000,0 days 00:00:04.112000,2
120.6388888888889,304,448,-2123,LEC,16,#FFD700,0 days 00:00:01.440000,2
123.25666666666669,304,430,-2143,LEC,16,#FFD700,0 days 00:00:01.471000,2
137.52777777777777,304,340,-2237,LEC,16,#FFD700,0 days 00:00:01.640000,2
141.73611111111111,303,314,-2266,LEC,16,#FFD700,0 days 00:00:01.690000,2
155.28694444444446,303,221,-2364,LEC,16,#FFD700,0 days 00:00:01.851000,2
157.7277777777778,303,204,-2381,LEC,16,#FFD700,0 days 00:00:01.880000,2
175.31111111111113,300,82,-2511,LEC,16,#FFD700,0 days 00:00:02.091000,2
224.15,298,-263,-2876,LEC,16,#FFD700,0 days 00:00:02.681000,2
238.0925,297,-362,-2979,LEC,16,#FFD700,0 days 00:00:02.850000,2
244.67027777777778,296,-408,-3027,LEC,16,#FFD700,0 days 00:00:02.930000,2
253.79694444444442,296,-470,-3094,LEC,16,#FFD700,0 days 00:00:03.041000,2
257.51694444444445,279,-497,-3123,LEC,16,#FFD700,0 days 00:00:03.089000,2
276.43916666666667,262,-632,-3267,LEC,16,#FFD700,0 days 00:00:03.349000,2
282.65749999999997,246,-676,-3311,LEC,16,#FFD700,0 days 00:00:03.440000,2
288.48249999999996,233,-717,-3352,LEC,16,#FFD700,0 days 00:00:03.530000,2
295.23527777777775,221,-759,-3393,LEC,16,#FFD700,0 days 00:00:03.640000,2
304.06861111111107,212,-818,-3447,LEC,16,#FFD700,0 days 00:00:03.790000,2
311.9630555555555,203,-886,-3502,LEC,16,#FFD700,0 days 00:00:03.930000,2
315.7547222222222,195,-916,-3525,LEC,16,#FFD700,0 days 00:00:04,2
325.9213888888889,183,-992,-3577,LEC,16,#FFD700,0 days 00:00:04.200000,2
