Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
1206.3991666666673,153,-7532,-6024,SAI,55,#DC0000,0 days 00:00:19.731000,7
1207.321944444445,151,-7537,-6016,SAI,55,#DC0000,0 days 00:00:19.753000,7
1208.915833333334,151,-7548,-6004,SAI,55,#DC0000,0 days 00:00:19.791000,7
1220.6602777777784,151,-7634,-5925,SAI,55,#DC0000,0 days 00:00:20.071000,7
1222.3913888888894,152,-7646,-5915,SAI,55,#DC0000,0 days 00:00:20.112000,7
1229.1930555555562,154,-7706,-5880,SAI,55,#DC0000,0 days 00:00:20.271000,7
1236.214444444445,157,-7817,-5839,SAI,55,#DC0000,0 days 00:00:20.432000,7
1238.8202777777783,159,-7855,-5827,SAI,55,#DC0000,0 days 00:00:20.491000,7
1246.9652777777783,162,-7930,-5807,SAI,55,#DC0000,0 days 00:00:20.672000,7
1257.7652777777782,162,-7987,-5809,SAI,55,#DC0000,0 days 00:00:20.912000,7
1260.5022222222228,167,-8011,-5810,SAI,55,#DC0000,0 days 00:00:20.971000,7
1268.1911111111117,173,-8091,-5812,SAI,55,#DC0000,0 days 00:00:21.131000,7
1271.2241666666673,179,-8118,-5813,SAI,55,#DC0000,0 days 00:00:21.192000,7
1279.4463888888895,185,-8194,-5820,SAI,55,#DC0000,0 days 00:00:21.352000,7
1281.4613888888894,186,-8225,-5824,SAI,55,#DC0000,0 days 00:00:21.391000,7
1289.816944444445,188,-8386,-5845,SAI,55,#DC0000,0 days 00:00:21.551000,7
1291.980833333334,190,-8421,-5849,SAI,55,#DC0000,0 days 00:00:21.592000,7
1307.6919444444452,202,-8560,-5871,SAI,55,#DC0000,0 days 00:00:21.872000,7
1312.1686111111119,204,-8589,-5876,SAI,55,#DC0000,0 days 00:00:21.951000,7
1319.0925000000007,206,-8631,-5882,SAI,55,#DC0000,0 days 00:00:22.072000,7
1329.5341666666675,210,-8706,-5895,SAI,55,#DC0000,0 days 00:00:22.251000,7
1333.1602777777787,214,-8739,-5900,SAI,55,#DC0000,0 days 00:00:22.312000,7
1341.5775000000008,218,-8825,-5916,SAI,55,#DC0000,0 days 00:00:22.451000,7
1350.3116666666674,223,-8906,-5928,SAI,55,#DC0000,0 days 00:00:22.592000,7
1355.2930555555563,227,-8960,-5934,SAI,55,#DC0000,0 days 00:00:22.671000,7
1373.4019444444452,232,-9207,-5946,SAI,55,#DC0000,0 days 00:00:22.952000,7
1374.6263888888896,232,-9222,-5947,SAI,55,#DC0000,0 days 00:00:22.971000,7
1383.7130555555561,232,-9304,-5946,SAI,55,#DC0000,0 days 00:00:23.112000,7
1400.691944444445,236,-9418,-5932,SAI,55,#DC0000,0 days 00:00:23.371000,7
1404.7755555555561,241,-9454,-5925,SAI,55,#DC0000,0 days 00:00:23.432000,7
1202.4455555555553,149,-7587,-5959,LEC,16,#FFD700,0 days 00:00:19.840000,7
1210.7233333333331,149,-7619,-5934,LEC,16,#FFD700,0 days 00:00:20.040000,7
1214.448333333333,149,-7646,-5917,LEC,16,#FFD700,0 days 00:00:20.130000,7
1219.4899999999998,150,-7695,-5886,LEC,16,#FFD700,0 days 00:00:20.251000,7
1224.0619444444442,151,-7734,-5865,LEC,16,#FFD700,0 days 00:00:20.360000,7
1228.7369444444441,153,-7772,-5851,LEC,16,#FFD700,0 days 00:00:20.470000,7
1234.3341666666665,155,-7819,-5835,LEC,16,#FFD700,0 days 00:00:20.600000,7
1241.7952777777775,158,-7898,-5820,LEC,16,#FFD700,0 days 00:00:20.770000,7
1251.6341666666663,161,-8042,-5811,LEC,16,#FFD700,0 days 00:00:20.990000,7
1252.0897222222218,164,-8048,-5810,LEC,16,#FFD700,0 days 00:00:21,7
1265.623055555555,174,-8209,-5823,LEC,16,#FFD700,0 days 00:00:21.280000,7
1271.1113888888883,178,-8256,-5829,LEC,16,#FFD700,0 days 00:00:21.391000,7
1275.6355555555551,183,-8284,-5832,LEC,16,#FFD700,0 days 00:00:21.480000,7
1288.7433333333329,188,-8359,-5842,LEC,16,#FFD700,0 days 00:00:21.731000,7
1292.4424999999994,193,-8392,-5846,LEC,16,#FFD700,0 days 00:00:21.800000,7
1298.5474999999994,198,-8455,-5855,LEC,16,#FFD700,0 days 00:00:21.911000,7
1308.124166666666,204,-8549,-5868,LEC,16,#FFD700,0 days 00:00:22.080000,7
1310.9852777777771,206,-8577,-5873,LEC,16,#FFD700,0 days 00:00:22.130000,7
1319.131944444444,208,-8657,-5886,LEC,16,#FFD700,0 days 00:00:22.271000,7
1324.381944444444,210,-8723,-5897,LEC,16,#FFD700,0 days 00:00:22.361000,7
1336.4374999999993,217,-8896,-5925,LEC,16,#FFD700,0 days 00:00:22.561000,7
1339.3574999999994,219,-8931,-5931,LEC,16,#FFD700,0 days 00:00:22.609000,7
1353.664166666666,222,-9043,-5943,LEC,16,#FFD700,0 days 00:00:22.841000,7
1365.424166666666,224,-9124,-5946,LEC,16,#FFD700,0 days 00:00:23.030000,7
1366.1147222222214,226,-9129,-5946,LEC,16,#FFD700,0 days 00:00:23.041000,7
1380.808888888888,231,-9279,-5945,LEC,16,#FFD700,0 days 00:00:23.270000,7
1381.529999999999,236,-9288,-5944,LEC,16,#FFD700,0 days 00:00:23.281000,7
1392.6366666666659,238,-9449,-5927,LEC,16,#FFD700,0 days 00:00:23.449000,7
1402.745277777777,241,-9542,-5911,LEC,16,#FFD700,0 days 00:00:23.600000,7
1413.5897222222213,244,-9606,-5892,LEC,16,#FFD700,0 days 00:00:23.760000,7
